Tipo de item;Chave da item;Resumo;Responsável;Relator;Prioridade;Status;Criado;Atualizado(a);Campo personalizado (Domínio de TI - Atuação)
Sub-tarefa;TC-38;Apresentação de MVP do Sistema e orçamento dos custos;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;07/01/2026 16:40;09/02/2026 08:41;Projetos & Expansão
Sub-tarefa;TC-37;Reunião para apresentar a ideia do sistema;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;07/01/2026 16:39;03/03/2026 08:20;Projetos & Expansão
Sub-tarefa;TC-36;Fazer contato com DEV para contextualização inicial do projeto;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 16:39;09/02/2026 08:38;Projetos & Expansão
Tarefa;TC-35;Modelagem de Dados e Implementação de Queries para Dashboard de Custos;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 16:36;06/02/2026 16:08;Projetos & Expansão
História;TC-34;Projeto - Sistema de Controle de Abastecimento de Frota;Anthony Cruz;Anthony Cruz;Muito baixo;Tarefas pendentes;07/01/2026 16:34;25/02/2026 10:52;Projetos & Expansão
Sub-tarefa;TC-33;Fazer reunião de apresentação da solução;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 15:57;09/02/2026 08:38;Projetos & Expansão
Tarefa;TC-32;Padronização de modelos e especificações de equipamentos de TI;Anthony Cruz;Anthony Cruz;Baixo;Concluído;07/01/2026 13:48;06/02/2026 16:07;Gestão & Administrativo
Sub-tarefa;TC-31;Solicitar compra de Ferramentas;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 11:57;09/02/2026 08:39;Hardware (Ativos Físicos)
Sub-tarefa;TC-30;Solicitar compra de Nobreak;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 11:57;09/02/2026 08:41;Projetos & Expansão
Sub-tarefa;TC-29;Agendar data de início do Projeto;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 10:40;09/02/2026 08:41;Projetos & Expansão
Sub-tarefa;TC-28;Apresentar planta baixa ao time de manutenção;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 09:13;09/02/2026 08:42;Projetos & Expansão
Sub-tarefa;TC-27;Fazer solicitação de compra de equipamentos;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 09:12;09/02/2026 08:42;Projetos & Expansão
Sub-tarefa;TC-26;Mapear locais dos Access Points e Cabeamento;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 09:12;09/02/2026 08:42;Projetos & Expansão
Sub-tarefa;TC-25;Fazer orçamento completo de implantação e custos fixos;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;07/01/2026 07:54;09/02/2026 08:42;Projetos & Expansão
Sub-tarefa;TC-24;Marcar apresentação do sistema;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 07:53;09/02/2026 08:37;Projetos & Expansão
Sub-tarefa;TC-23;Fazer contato com fornecedor do sistema GOTO;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 07:53;09/02/2026 08:37;Telefonia & Redes (Conectividade)
Sub-tarefa;TC-22;Fazer levantamento de quantidade de ramais e linhas de telefone;Anthony Cruz;Anthony Cruz;Alto;Em Andamento;07/01/2026 07:53;09/02/2026 08:38;Projetos & Expansão
Sub-tarefa;TC-21;Fazer contato com empresa representante da Microsoft;Anthony Cruz;Anthony Cruz;Médio;Concluído;07/01/2026 07:40;09/02/2026 08:38;Projetos & Expansão
História;TC-20;Estruturação de Dados e Dashboard de Performance de Obras;Anthony Cruz;Anthony Cruz;Muito baixo;CANCELADO;06/01/2026 17:06;23/02/2026 08:17;Software & Aplicações (Sistemas)
História;TC-19;Levantamento de custos do Microsoft 365 e Microsoft Teams;Anthony Cruz;Anthony Cruz;Alto;Concluído;06/01/2026 17:06;13/02/2026 09:53;Projetos & Expansão
História;TC-18;Implementação de IA Conversacional: FAQ de RH via WhatsApp;Anthony Cruz;Anthony Cruz;Médio;Em Andamento;06/01/2026 17:05;06/02/2026 16:07;Projetos & Expansão
História;TC-17;Projeto - Portal de Documentos - Administrativo HDI;Anthony Cruz;Anthony Cruz;Baixo;Concluído;06/01/2026 17:05;23/02/2026 16:41;Projetos & Expansão
História;TC-16;Projeto - Implantação de Telefonia em Nuvem: GoTo Connect (URA e Ramais);Anthony Cruz;Anthony Cruz;Médio;Em Andamento;06/01/2026 17:04;06/02/2026 16:07;Projetos & Expansão
Sub-tarefa;TC-15;Fazer Topologia da Rede Sem Fio;Anthony Cruz;Anthony Cruz;Médio;Concluído;06/01/2026 16:06;09/02/2026 08:38;Projetos & Expansão
Sub-tarefa;TC-14;Gerar relatório da Situação da Rede;Anthony Cruz;Anthony Cruz;Médio;Concluído;06/01/2026 10:36;09/02/2026 08:38;Projetos & Expansão
Sub-tarefa;TC-13;[INFRA-5] Testes de redundância e validação de segurança (Firewall/VPN);Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 23:58;19/02/2026 14:44;Projetos & Expansão
Sub-tarefa;TC-12;[INFRA-4] Migração dos hosts e configuração de Pool de Impressão Único;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 23:58;19/02/2026 11:58;Projetos & Expansão
Sub-tarefa;TC-11;[INFRA-3] Configuração de VLANs e Portal de Convidados;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 23:58;19/02/2026 09:49;Projetos & Expansão
Sub-tarefa;TC-10;[INFRA-2] Passagem de cabeamento;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 23:58;09/02/2026 08:42;Projetos & Expansão
Sub-tarefa;TC-9;[INFRA-1] Instalação física e configuração de Load Balance (ER7206 + OC200);Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 23:58;18/02/2026 10:52;Projetos & Expansão
História;TC-8;Projeto - Estruturação de Rede Local - Grupo Conexão;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 23:58;20/02/2026 10:06;Projetos & Expansão
Sub-tarefa;TC-7;TOTVS - Corrigir erro na importação do arquivo da Caixa Econômica;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 21:38;09/02/2026 08:37;Software & Aplicações (Sistemas)
Sub-tarefa;TC-6;Criar relatórios;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 21:38;09/02/2026 08:37;Software & Aplicações (Sistemas)
Sub-tarefa;TC-5;TOTVS - Resolver problema de importação de dados dos Bancos;Anthony Cruz;Anthony Cruz;Médio;Concluído;05/01/2026 21:37;09/02/2026 08:40;Software & Aplicações (Sistemas)
Tarefa;TC-4;TOTVS - Padronizar Perfis de Acesso ao sistema;Anthony Cruz;Anthony Cruz;Alto;Concluído;05/01/2026 17:23;11/02/2026 14:55;Software & Aplicações (Sistemas)
Tarefa;TC-3;Reatribuição e Correção de Permissões de Usuários - TOTVS;Anthony Cruz;Anthony Cruz;Muito alto;Concluído;05/01/2026 17:23;06/02/2026 16:06;Software & Aplicações (Sistemas)
História;TC-2;TOTVS - Módulo Financeiro (ajustes);Anthony Cruz;Anthony Cruz;Muito alto;Concluído;05/01/2026 17:22;06/02/2026 16:06;Software & Aplicações (Sistemas)
Problema;TC-1;Restruturação da Rede - Problema de Interligação de redes;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;05/01/2026 17:21;06/02/2026 16:06;Projetos & Expansão
