Tipo de item;Chave da item;Resumo;Responsável;Relator;Prioridade;Status;Criado;Atualizado(a);Campo personalizado (Domínio de TI - Atuação)
Sub-tarefa;TC-178;Configurar e-mail no computador de Camila;Anthony Cruz;Anthony Cruz;Médio;Concluído;03/02/2026 14:11;06/02/2026 16:21;Software & Aplicações (Sistemas)
Tarefa;TC-177;E-mail - Criar e-mail corporativo para o Haras;Anthony Cruz;Anthony Cruz;Médio;Concluído;03/02/2026 14:00;06/02/2026 16:21;Software & Aplicações (Sistemas)
Tarefa;TC-176;TOTVS - Restabelecer acesso de João Pedro;Anthony Cruz;Anthony Cruz;Médio;Concluído;03/02/2026 08:49;06/02/2026 16:21;Software & Aplicações (Sistemas)
Tarefa;TC-175;TOTVS - Fazer ajuste na alçada de aprovação de pagamento;Anthony Cruz;Anthony Cruz;Médio;Concluído;02/02/2026 17:13;06/02/2026 16:21;Software & Aplicações (Sistemas)
Sub-tarefa;TC-174;TOTVS - Adicionar IA de leitura de boletos na coligada HD;Anthony Cruz;Anthony Cruz;Médio;Concluído;02/02/2026 11:11;06/02/2026 16:21;Software & Aplicações (Sistemas)
Tarefa;TC-173;TOTVS - Aumentar limite de registros na visualização de Aprovação de atendimentos;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 11:29;06/02/2026 16:21;Software & Aplicações (Sistemas)
Sub-tarefa;TC-172;TOTVS - Iniciar parametrização do Portal Knowgap de treinamentos;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 08:55;20/02/2026 10:07;Software & Aplicações (Sistemas)
Sub-tarefa;TC-171;TOTVS - Adicionar Filtro Tipo de Lançamento diferente de 23 (Aprovado para Pagamento);Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 08:08;06/02/2026 16:22;Software & Aplicações (Sistemas)
Sub-tarefa;TC-170;TOTVS - Criar filtro nos lançamentos para aparecer apenas os pagamentos aprovados;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:37;06/02/2026 16:23;Software & Aplicações (Sistemas)
Sub-tarefa;TC-169;TOTVS - Cancelamento de Baixa;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:36;06/02/2026 16:23;Software & Aplicações (Sistemas)
Sub-tarefa;TC-168;TOTVS - Cancelamento de Lançamento;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:36;06/02/2026 16:23;Software & Aplicações (Sistemas)
Tarefa;TC-167;Tesouraria - Demandas apontadas por Daniela;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:35;06/02/2026 16:23;Software & Aplicações (Sistemas)
Sub-tarefa;TC-166;TOTVS - Criar coligada Conetis;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;30/01/2026 07:30;23/02/2026 08:08;Software & Aplicações (Sistemas)
Sub-tarefa;TC-165;TOTVS - Coligada 6  - Master/JB/ Pave ( replicar cadastros - fornecedores/relatórios/ borderô...);Anthony Cruz;Anthony Cruz;Médio;CANCELADO;30/01/2026 07:30;23/02/2026 08:08;Software & Aplicações (Sistemas)
Sub-tarefa;TC-164;TOTVS - Código de barras dos boletos, assim que incluído o anexo, ler a linha digitável;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:29;06/02/2026 16:23;Software & Aplicações (Sistemas)
Sub-tarefa;TC-163;TOTVS - Baixas de lançamento da RD sem funcionar;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:29;06/02/2026 16:23;Software & Aplicações (Sistemas)
Sub-tarefa;TC-162;TOTVS - O extrato do banco Santander - esta duplicando;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;30/01/2026 07:29;23/02/2026 08:08;Software & Aplicações (Sistemas)
Sub-tarefa;TC-161;TOTVS - Nome e histórico no extrato de caixa HD e RD;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:28;06/02/2026 16:24;Software & Aplicações (Sistemas)
Sub-tarefa;TC-160;TOTVS - Relatório das conciliações coligadas HD e RD;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;30/01/2026 07:28;23/02/2026 08:08;Software & Aplicações (Sistemas)
Sub-tarefa;TC-159;TOTVS - Iniciar funcionamento do BB SIA;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;30/01/2026 07:28;23/02/2026 08:08;Software & Aplicações (Sistemas)
Sub-tarefa;TC-158;TOTVS - Arquivo OFX - Banco Caixa Econômica;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:27;06/02/2026 16:26;Software & Aplicações (Sistemas)
Sub-tarefa;TC-157;TOTVS - Visualizar anexo sem precisar fazer download;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;30/01/2026 07:27;23/02/2026 08:08;Software & Aplicações (Sistemas)
Sub-tarefa;TC-156;Solicitar compra de memória RAM para notebook de Darliane;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:26;06/02/2026 16:25;Hardware (Ativos Físicos)
Sub-tarefa;TC-155;Solicitar compra de memória RAM para notebook de Fernanda;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:24;06/02/2026 16:26;Software & Aplicações (Sistemas)
Tarefa;TC-154;Financeiro - Demandas apontadas pelo setor;Anthony Cruz;Anthony Cruz;Médio;Concluído;30/01/2026 07:24;23/02/2026 08:08;Software & Aplicações (Sistemas)
Tarefa;TC-153;TOTVS - Liberar o perfil de compras do pra que eles possam editar a OC;Anthony Cruz;Anthony Cruz;Médio;Concluído;29/01/2026 11:59;06/02/2026 16:25;Software & Aplicações (Sistemas)
Tarefa;TC-152;Solicitar compra de Bateria para Notebook Avell do Eng. Henrique;Anthony Cruz;Anthony Cruz;Médio;Concluído;29/01/2026 11:57;06/02/2026 16:26;Hardware (Ativos Físicos)
História;TC-151;Projeto - Implantar a Rede do Novo Galpão - Jardim Luz;Anthony Cruz;Anthony Cruz;Médio;Em Andamento;29/01/2026 09:11;11/03/2026 15:18;Projetos & Expansão
Tarefa;TC-150;Solicitar compra de memória DDR4 3200MHz 8GB e Adaptador USB HDMI para Galpão Vida Nova;Anthony Cruz;Anthony Cruz;Médio;Concluído;29/01/2026 08:15;06/02/2026 16:26;Hardware (Ativos Físicos)
Tarefa;TC-149;TOTVS - Iniciar implantação da ferramenta de cursos da Knowgap;Anthony Cruz;Anthony Cruz;Médio;Concluído;27/01/2026 07:50;24/02/2026 07:18;Software & Aplicações (Sistemas)
Tarefa;TC-148;TOTVS - Remover acessos excedentes do sistema;Anthony Cruz;Anthony Cruz;Médio;Concluído;26/01/2026 14:41;06/02/2026 16:27;Software & Aplicações (Sistemas)
Tarefa;TC-147;Solicitar compra de memória RAM DDR5 8GB para computador de Gabriel (RD);Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 16:25;06/02/2026 16:27;Hardware (Ativos Físicos)
Tarefa;TC-146;Solicitar compra de memória RAM DDR4 8GB para computador de Susy (RH);Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 15:41;06/02/2026 16:27;Hardware (Ativos Físicos)
Tarefa;TC-145;Solicitar compra de memória RAM DDR4 8GB para computador de Humberto (Compras);Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 15:09;06/02/2026 16:27;Hardware (Ativos Físicos)
Sub-tarefa;TC-144;Testes de validação de funcionamento;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 15:05;06/02/2026 16:27;Telefonia & Redes (Conectividade)
Sub-tarefa;TC-143;Levantar requisitos do portal de demandas;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 11:55;03/03/2026 16:14;Projetos & Expansão
Sub-tarefa;TC-142;Escolher modelo de notebook e solicitar compra para Secretária de Executiva;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 11:55;06/02/2026 16:28;Hardware (Ativos Físicos)
Tarefa;TC-141;Solicitar a compra de um monitor ou tela para Hemerson;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 11:55;06/02/2026 16:29;Hardware (Ativos Físicos)
História;TC-140;Projeto - Portal de gestão de trabalho da Governança;Anthony Cruz;Anthony Cruz;Muito alto;Concluído;23/01/2026 11:50;03/03/2026 16:14;Projetos & Expansão
Sub-tarefa;TC-139;Criar primeiras contas de e-mail oficiais para cadastramentos em fornecedores;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 10:53;09/02/2026 08:17;Software & Aplicações (Sistemas)
Sub-tarefa;TC-138;Realizar assinatura de plano de hospedagem 150gb;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 10:52;09/02/2026 08:17;Software & Aplicações (Sistemas)
Sub-tarefa;TC-137;Criar cadastro junto ao fornecedor de hospedagem e domínio;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 10:52;09/02/2026 08:17;Software & Aplicações (Sistemas)
História;TC-136;Criar um domínio e hospedagem para o Grupo Conexão;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 10:51;06/02/2026 16:28;Telefonia & Redes (Conectividade)
Tarefa;TC-135;Criar conta de e-mail para TI;Anthony Cruz;Anthony Cruz;Médio;Concluído;23/01/2026 10:21;09/02/2026 08:17;Software & Aplicações (Sistemas)
Reunião Interna;TC-134;Reunião - Processo de Pós Venda;Anthony Cruz;Anthony Cruz;Médio;Concluído;22/01/2026 09:20;09/02/2026 08:17;Gestão & Administrativo
Sub-tarefa;TC-133;Fazer a contratação da ferramenta escolhida;Anthony Cruz;Anthony Cruz;Médio;Em Andamento;21/01/2026 14:31;09/02/2026 08:17;Software & Aplicações (Sistemas)
Sub-tarefa;TC-132;Fazer contato com a ferramenta ChatPro;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 14:31;06/02/2026 16:29;Projetos & Expansão
Sub-tarefa;TC-131;Fazer contato inicial com ClickMassa;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 14:31;06/02/2026 16:29;Projetos & Expansão
Sub-tarefa;TC-130;Implantar ferramenta/plano de treinamentos TOTVS;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 14:07;20/02/2026 10:09;Software & Aplicações (Sistemas)
Sub-tarefa;TC-129;Adquirir portal de treinamentos corporativos para o TOTVS;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 14:07;09/02/2026 08:17;Software & Aplicações (Sistemas)
Sub-tarefa;TC-128;TOTVS - Padronizar os perfis do DP;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 08:54;11/02/2026 14:55;Software & Aplicações (Sistemas)
Sub-tarefa;TC-127;TOTVS - Padronizar os perfis do RH;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 08:54;11/02/2026 14:55;Software & Aplicações (Sistemas)
Sub-tarefa;TC-126;TOTVS - Padronizar os perfis da Legalização;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;21/01/2026 08:53;11/02/2026 14:55;Software & Aplicações (Sistemas)
Sub-tarefa;TC-125;TOTVS - Padronizar os perfis da qualidade;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 08:53;09/02/2026 08:19;Software & Aplicações (Sistemas)
Tarefa;TC-124;TOTVS - Inativar os acessos dos técnicos da TOTVS;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 07:50;09/02/2026 08:19;Software & Aplicações (Sistemas)
Tarefa;TC-123;TOTVS - Inativar o acesso de Thamires;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 07:41;09/02/2026 08:19;Software & Aplicações (Sistemas)
Sub-tarefa;TC-122;TOTVS - Padronizar os perfis de compras;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 07:40;09/02/2026 08:19;Software & Aplicações (Sistemas)
Sub-tarefa;TC-121;TOTVS - Padronizar os perfis do Financeiro;Anthony Cruz;Anthony Cruz;Médio;Concluído;21/01/2026 07:40;09/02/2026 08:19;Software & Aplicações (Sistemas)
Sub-tarefa;TC-120;TOTVS - Padronizar o perfil da Tesouraria;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/01/2026 14:42;09/02/2026 08:19;Software & Aplicações (Sistemas)
Sub-tarefa;TC-119;TOTVS - Padronizar perfis de acesso da Engenharia;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/01/2026 14:24;09/02/2026 08:20;Software & Aplicações (Sistemas)
Sub-tarefa;TC-118;Verificar quantidade de usuários por setor;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/01/2026 08:04;10/02/2026 15:37;Software & Aplicações (Sistemas)
Sub-tarefa;TC-117;Adicionar todos os membros e definir suas permissões;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/01/2026 08:02;09/02/2026 08:22;Software & Aplicações (Sistemas)
Sub-tarefa;TC-116;Criar contas para todos os membros;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/01/2026 08:02;09/02/2026 08:22;Software & Aplicações (Sistemas)
Sub-tarefa;TC-115;Adicionar João Pedro como Administrador;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/01/2026 08:02;09/02/2026 08:22;Software & Aplicações (Sistemas)
Sub-tarefa;TC-114;Criar os grupos do RH e DP;Anthony Cruz;Anthony Cruz;Médio;Concluído;20/01/2026 08:02;09/02/2026 08:22;Software & Aplicações (Sistemas)
Tarefa;TC-113;Notebook - Instalar Memória 8GB DDR4 2666MHz;Anthony Cruz;Anthony Cruz;Médio;Aguardando Aquisição;19/01/2026 10:21;09/02/2026 08:14;Hardware (Ativos Físicos)
Tarefa;TC-112;SOLICITAR A COMPRA DE UM PLAUD NOTE 64GB;Anthony Cruz;Anthony Cruz;Alto;Concluído;19/01/2026 10:17;09/02/2026 08:22;Hardware (Ativos Físicos)
Sub-tarefa;TC-111;Solicitar compra da memória;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 11:19;09/02/2026 08:22;Hardware (Ativos Físicos)
Sub-tarefa;TC-110;Fazer orçamento da memória;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 11:19;09/02/2026 08:31;Hardware (Ativos Físicos)
Tarefa;TC-109;Solicitar compra de Memória para notebook (Ana Regina);Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 11:02;09/02/2026 08:31;Hardware (Ativos Físicos)
Sub-tarefa;TC-108;Realizar testes de validação;Anthony Cruz;Anthony Cruz;Médio;Aguardando Aquisição;16/01/2026 10:15;20/02/2026 10:22;Projetos & Expansão
Sub-tarefa;TC-107;Instalar computador e equipamentos;Anthony Cruz;Anthony Cruz;Médio;Aguardando Aquisição;16/01/2026 10:15;09/02/2026 08:31;Projetos & Expansão
Sub-tarefa;TC-106;Solicitar compra dos equipamentos e periféricos;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 10:14;09/02/2026 08:31;Projetos & Expansão
Sub-tarefa;TC-105;Documentar o Projeto;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 10:14;09/02/2026 08:31;Projetos & Expansão
História;TC-104;Projeto - Adequação da Sala de Reunião para Videoconferência;Anthony Cruz;Anthony Cruz;Médio;Em Andamento;16/01/2026 10:14;05/03/2026 08:56;Projetos & Expansão
Sub-tarefa;TC-103;Realizar entrega para uso em produção (publicar para os colaboradores);Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 09:23;09/02/2026 08:31;Projetos & Expansão
História;TC-102;Treinamento - Ensinar a usar o quadro da Ouvidoria no Jira;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 09:23;25/02/2026 11:17;Projetos & Expansão
Sub-tarefa;TC-101;Criar os tipos de Solicitação do Portal;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 09:23;09/02/2026 08:32;Projetos & Expansão
Sub-tarefa;TC-100;Definir Filtros e Painéis de Controle;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 09:23;09/02/2026 08:34;Projetos & Expansão
Sub-tarefa;TC-99;Criar portal público de solicitações do colaborador;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 09:23;09/02/2026 08:34;Projetos & Expansão
Sub-tarefa;TC-98;Criar o projeto no Jira Service Management;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 09:23;09/02/2026 08:35;Projetos & Expansão
Sub-tarefa;TC-97;Definir a conta de acesso principal;Anthony Cruz;Anthony Cruz;Médio;Concluído;16/01/2026 09:23;09/02/2026 08:35;Projetos & Expansão
História;TC-96;Projeto - Portal da Ouvidoria;Anthony Cruz;Anthony Cruz;Alto;Concluído;16/01/2026 09:23;09/02/2026 08:35;Projetos & Expansão
Sub-tarefa;TC-95;Realizar entrega para uso em produção (publicar para os colaboradores);Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;16/01/2026 09:22;09/02/2026 08:28;Projetos & Expansão
Sub-tarefa;TC-94;Treinamento do time de Ouvidoria;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;16/01/2026 09:21;09/02/2026 08:24;Projetos & Expansão
Sub-tarefa;TC-93;Validar o projeto com João Pedro;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;16/01/2026 09:21;09/02/2026 08:24;Projetos & Expansão
Sub-tarefa;TC-92;Criar uma base de conhecimento no confluence e compartilhar no portal;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;16/01/2026 09:21;09/02/2026 08:24;Projetos & Expansão
Sub-tarefa;TC-91;Criar portal de solicitações do colaborador;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;16/01/2026 09:20;09/02/2026 08:24;Projetos & Expansão
Sub-tarefa;TC-90;Criar o quadro do Projeto e parametrizar os campos;Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;16/01/2026 09:20;09/02/2026 08:24;Projetos & Expansão
Sub-tarefa;TC-89;Definir as conta de acesso principal e demais contas compartilhadas (usuários do RH);Anthony Cruz;Anthony Cruz;Médio;Tarefas pendentes;16/01/2026 09:19;09/02/2026 08:25;Projetos & Expansão
História;TC-88;Projeto - Criar um portal de abertura de solicitações ao RH;Anthony Cruz;Anthony Cruz;Médio;OBTENDO INFORMAÇÕES;16/01/2026 09:19;09/02/2026 08:25;Projetos & Expansão
Sub-tarefa;TC-87;Realizar testes e entrega do projeto;Anthony Cruz;Anthony Cruz;Médio;Aguardando Aquisição;15/01/2026 16:56;20/02/2026 10:22;Projetos & Expansão
Sub-tarefa;TC-86;Realizar implantação dos equipamentos;Anthony Cruz;Anthony Cruz;Médio;Aguardando Aquisição;15/01/2026 16:56;09/02/2026 08:25;Projetos & Expansão
Sub-tarefa;TC-85;Fazer pedido de compra dos equipamentos e materiais;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 16:55;09/02/2026 08:25;Projetos & Expansão
Sub-tarefa;TC-84;Fazer orçamentos do Projeto;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 16:55;09/02/2026 08:25;Projetos & Expansão
Sub-tarefa;TC-83;Fazer o descritivo do projeto;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 16:55;09/02/2026 08:25;Projetos & Expansão
História;TC-82;Projeto - Adequação da Rede do Stand de Vendas da HDI;Anthony Cruz;Anthony Cruz;Alto;Em Andamento;15/01/2026 16:41;11/03/2026 07:42;Projetos & Expansão
Sub-tarefa;TC-81;Instalar memória no Notebook;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 15:51;27/02/2026 10:20;Hardware (Ativos Físicos)
Sub-tarefa;TC-80;Solicitar memória ao Compras;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 15:51;09/02/2026 08:26;Hardware (Ativos Físicos)
Sub-tarefa;TC-79;Fazer orçamento da memória;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 15:50;09/02/2026 08:26;Hardware (Ativos Físicos)
Tarefa;TC-78;HDI  -Upgrade memória DDR5 8GB do computador de Mateus (Marketing);Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 15:50;27/02/2026 10:20;Hardware (Ativos Físicos)
Sub-tarefa;TC-77;Pedir Memória 8GB DDR4 2666MHz;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 13:41;09/02/2026 08:16;Hardware (Ativos Físicos)
Sub-tarefa;TC-76;Formatar Notebook e configurar softwares básicos;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 11:09;09/02/2026 08:16;Software & Aplicações (Sistemas)
Sub-tarefa;TC-75;Fazer pedido de uma Memória DDR4 2666MHZ 8GB;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 11:08;09/02/2026 08:16;Hardware (Ativos Físicos)
Sub-tarefa;TC-74;Fazer pedido de uma fonte para Dell P75F Inspiron 15;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 11:08;09/02/2026 08:16;Hardware (Ativos Físicos)
Tarefa;TC-73;Notebook - HDI - Preparar notebook para uso de um novo corretor;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 11:07;09/02/2026 08:16;Hardware (Ativos Físicos)
Tarefa;TC-72;TOTVS - Ajustar fluxo de aprovação do pagamentos;Anthony Cruz;Anthony Cruz;Médio;Concluído;15/01/2026 10:10;06/02/2026 16:14;Software & Aplicações (Sistemas)
Sub-tarefa;TC-71;TOTVS - Revisar e testar os acessos dos Usuários;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;15/01/2026 08:27;23/02/2026 08:16;Software & Aplicações (Sistemas)
Sub-tarefa;TC-70;Definir novos perfis para os usuários;Anthony Cruz;Anthony Cruz;Médio;CANCELADO;15/01/2026 08:27;23/02/2026 08:16;Software & Aplicações (Sistemas)
